
PPG;파푸아뉴기니
VTU;바누아투
SMO;사모아
ATC;안틸레스 연합
MNP;마니푸르
BDK;바다흐샨
PGG;핑난
SGM;지크마링겐-호엔촐레른
NMB;나미비아
TMR;티모르
SLG;슬랑오르
PRK;페락
PHG;파항
FRO;페로 제도
NEH;뇌샤텔
HBY;호브요
QAT;카타르
BRY;부랴트
MLD;몰디브
KAR;카렌
PAK;파키스탄
CRL;치트랄
RDL;아르달란
BTL;비틀리스
BDN;바흐디난
BNB;바반
MKN;모크리얀
BHT;보탄
SRN;소란
LBG;림부르크
PNB;페르남부쿠
FIU;피윰 자유주
SYC;시칠리아
MDV;몰도바
ABK;압하지야
CRT;코리엔테스
SBA;부에노스아이레스
ARC;아르헨티나 연합
LHJ;라흐치
FDL;파드흘리
KTH;카티리
MHR;마흐라
KML;쿠물 칸국
SHK;쉴루크
WRL;와르상알리
BHP;바하왈푸르
EZO;에조 공화국
CHY;체첸
CHK;참파삭
QNG;청나라
MGH;마그레브

BKF;부르키나파소
ZBW;짐바브웨
CMS;코모로
EQG;적도기니

BAH;바이아
CHP;치아파스
CEQ;에콰도르 연방
ENT;엔트레리오스
GCO;그란콜롬비아
GUY;기아나
LOS;로스알토스
LPL;라플라타
PBC;페루-볼리비아 연합
PTG;파타고니아
RGR;리오그란데
RGS;리오그란데도술
SON;소노라
SPU;남페루
YUC;유카탄

BLZ;벨리즈
DAK;다코타
FSA;아메리카 자유주
GRN;그린란드
JAM;자메이카
LSK;알래스카
MRU;해상 연합
PRI;푸에르토리코
RPL;루퍼트공령
TTB;트리니다드
UIL;일리노이
UNB;네브라스카
UNM;뉴멕시코
UOR;오리건

ALS;알자스
ATR;아스투리아스
BAN;바나트
BKV;부코비나
BRT;브르타뉴
BSQ;바스크
CRS;코르시카
DLM;달마티아
ENL;잉글랜드
GLC;갈리치아
GLM;갈리치아-로도메리아
LOR;로렌
MCD;마케도니아
MLT;몰타
OCC;옥시타니아
RMG;로마냐
SPC;카를주의 스페인
SRD;사르데냐
SVY;사보이
SWH;슐레스비히-홀슈타인
WHA;웨일즈

DNB;다뉴브 연방
LUZ;루사티아
RHI;라인란트
PML;포메렐리아
PZN;포즈난
SLS;슐레지엔
WES;베스트팔렌

AKH;아스트라한
ALT;알타이 공화국
CPL;폴란드 입헌왕국
DON;코사키아
IZH;잉그리아
KAZ;카자흐스탄
KAM;캄차카
KMK;칼미크
KRL;카렐리아
SIB;시베리아 공화국
TAR;타타르스탄
TNT;탄누투바
URA;우랄 공화국
YAK;야쿠츠크

ARU;아랍 연합
ASY;아시리아
BHR;바레인
CIR;체르케스
CLC;킬리키아
DAG;다게스탄
DUR;두라니
HAL;하일
HTY;하타이
JOR;요르단
KDS;쿠르디스탄
KWT;쿠웨이트
KYR;키르기즈스탄
LBN;레바논
NYE;북예멘
PLS;팔레스타인
PNT;폰투스
SYR;시리아
TAJ;타지키스탄
TCA;트란스코카시아
TKM;투르크메니스탄
TKS;투르키스탄
UYG;위구르스탄
UZB;우즈베키스탄

ASM;아삼
BIH;비하르
BLC;발루치스탄
BNG;벵갈
DRA;드라비디스탄
KRN;카르나타카
MAH;마하라슈트라
MRT;마라타
RAJ;라즈푸타나
SRI;스리랑카

AGC;앙고시
ANG;앙골라
ARO;아로
ASH;아샨티
AWS;아파르 술탄국
AZA;아잔데
BEN;베넹
BRD;부룬디
BSH;바소토
BUG;부간다
CAR;중앙아프리카 공화국
CGO;콩고-브라자빌
CHD;차드
CLA;칼라바르
CMR;카메룬
CYR;키레나이카
DAH;다호메이
DAM;다마가람
DAR;다르푸르
DND;덴디
GAB;가봉
GAZ;가자
GBU;가부
GEL;겔레디
GMB;감비아
GNE;기니
GON;곤데르
HAR;하라르
IVC;코트디부아르
JAL;푸타-쟐루
KAF;카파
KBO;카넴-보르누
KNG;콩
KNY;케냐
KON;콩고
KUB;쿠바(콩고)
KZB;카젬베
LBA;루바
LBY;리비아
LOA;로앙고
LUN;룬다
MAJ;마지르틴
MAS;마씨나
MAT;마타벨레
MLI;말리
MLW;말라위
MNG;몽고
MOS;모씨
MOZ;모잠비크
NGR;나이지리아
NIG;니제르
OYO;오요
RWA;르완다
SEG;세구
SHO;쇼나
SHW;셰와
SID;시다마
SLE;시에라리온
SNG;세네갈
SOM;소말리아
SUA;스와질란드
SUD;수단
TIG;티그레이
TNZ;탄자니아
TOG;토고
TOO;투로
TOU;투클로르
TRZ;트라르자
TSW;보츠와나
WAD;와다이
WRI;와리
WOL;월로프
XHO;코사
ZAM;잠비아

DJA;잠비
FJN;푸젠
GMJ;국민군
GNG;광둥
HNN;후난
HUI;안휘
INO;인도네시아
KCH;카친
KLM;칼리만탄
KMT;중화민국
KTI;쿠타이
LAN;란팡
LXA;란상
MAL;말루쿠
MLY;말라야
SHA;샨
SLW;술라웨시
SAK;시악
SUL;술루
SWK;사라왁
SZC;쓰촨
TAI;타이완

CHO;조슈 번
KAG;가가 번
RYU;류큐
SAT;싸쓰마 번
SEN;센다이 번
TKG;에도 막부
TOS;도사
YZW;요네자와 번

AOT;아오티아로아
FIJ;피지
SNZ;남 뉴질랜드
TGA;통가

ARA;아라비아
BYE;벨라루스
PLC;폴란드-리투아니아
UBD;연합 발트 공국

DEN;덴마크
FIN;핀란드
NOR;노르웨이
SCA;스칸디나비아
SWE;스웨덴

BEL;벨기에
CAT;카탈루냐
FLA;플랑드르
IRE;아일랜드
NET;네덜란드
POR;포르투갈
SCO;스코틀랜드
SPA;스페인
WLL;왈로니아

ANH;안할트
BAD;바덴
BAV;바이에른
BRA;브라운슈바이크
BRE;브레멘
COB;작센-코부르크-고타
DZG;단치히
FRM;프랑크푸르트
HAM;함부르크
HAN;하노버
HES;헤센-다름슈타트
HEK;헤센-카셀
HOL;홀슈타인
LIP;리페-데트몰드
LUB;뤼벡
LUX;룩셈부르크
MEX;메클렌부르크
MEI;작센-마이닝겐
NAS;나사우
NGF;북독일 연방
